GeoName,Region,GeoScale,OceanSect_ID,OceanSector,Year, Employment , GrossReceipts 
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2005, 423 ," 41,593,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2006, 442 ," 46,280,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2007, 409 ," 32,066,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2008, 387 ," 27,753,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2009, 360 ," 25,310,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2010, 335 ," 25,845,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2011, 310 ," 23,932,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2012, 307 ," 23,829,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2013, 265 ," 18,541,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,1,Marine Construction,2014, 568 ," 34,115,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2005," 4,741 "," 179,675,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2006," 4,581 "," 193,793,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2007," 4,637 "," 195,260,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2008," 4,377 "," 181,729,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2009," 4,490 "," 174,709,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2010," 5,098 "," 232,343,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2011," 5,050 "," 233,679,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2012," 4,734 "," 216,790,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2013," 4,389 "," 221,860,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,2,Living Resources,2014," 2,703 "," 116,322,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2005, 772 ," 46,444,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2006, 761 ," 47,205,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2007, 822 ," 52,022,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2008, 927 ," 70,424,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2009, 853 ," 37,259,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2010, 893 ," 38,228,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2011, 904 ," 39,047,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2012, 860 ," 37,134,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2013, 850 ," 45,773,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,3,Offshore Mineral Extraction,2014, 237 ," 22,940,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2005, 76 ," 8,382,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2006, 106 ," 9,121,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2007, 114 ," 8,090,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2008, 103 ," 9,488,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2009, 95 ," 5,058,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2010, 109 ," 6,844,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2011, 136 ," 6,746,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2012, 153 ," 8,835,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2013, 131 ," 8,678,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,4,Ship and Boat Building,2014, 208 ," 18,083,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2005," 2,383 "," 511,309,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2006," 2,351 "," 502,186,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2007," 2,681 "," 528,032,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2008," 2,711 "," 520,938,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2009," 2,529 "," 359,842,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2010," 2,688 "," 375,002,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2011," 2,725 "," 357,437,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2012," 2,814 "," 343,498,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2013," 2,507 "," 340,863,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,5,Tourism and Recreation,2014," 2,563 "," 259,136,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2005," 1,339 "," 90,862,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2006," 1,472 "," 87,185,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2007," 1,812 "," 94,924,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2008," 1,717 "," 90,859,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2009," 1,680 "," 77,778,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2010," 1,762 "," 80,663,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2011," 1,738 "," 82,171,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2012," 1,986 "," 99,563,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2013," 1,891 "," 95,454,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,6,Marine Transportation,2014," 4,122 "," 195,464,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2005," 9,734 "," 878,265,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2006," 9,713 "," 885,770,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2007," 10,475 "," 910,394,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2008," 10,222 "," 901,191,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2009," 10,007 "," 679,956,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2010," 10,885 "," 758,925,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2011," 10,863 "," 743,012,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2012," 10,854 "," 729,649,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2013," 10,033 "," 731,169,000 "
Florida-Gulf of Mexico,Gulf of Mexico,Multi Region State,9,All Ocean Sectors,2014," 10,271 "," 632,708,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2005, 707 ," 45,906,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2006, 681 ," 45,509,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2007, 692 ," 42,664,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2008, 656 ," 42,232,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2009, 591 ," 33,412,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2010, 512 ," 27,668,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2011, 492 ," 28,258,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2012, 471 ," 31,046,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2013, 468 ," 28,766,000 "
Florida-Southeast,Southeast,Multi Region State,1,Marine Construction,2014, 183 ," 12,930,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2005," 2,442 "," 84,853,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2006," 2,484 "," 86,345,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2007," 2,493 "," 92,383,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2008," 2,453 "," 85,127,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2009," 2,399 "," 81,356,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2010," 2,517 "," 89,128,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2011," 2,595 "," 94,772,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2012," 2,638 "," 98,618,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2013," 2,588 "," 100,185,000 "
Florida-Southeast,Southeast,Multi Region State,2,Living Resources,2014," 4,557 "," 238,979,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2005, 180 ," 15,013,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2006, 204 ," 13,536,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2007, 183 ," 14,836,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2008, 156 ," 11,934,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2009, 150 ," 11,826,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2010, 134 ," 12,268,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2011, 176 ," 15,081,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2012, 255 ," 18,725,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2013, 240 ," 16,728,000 "
Florida-Southeast,Southeast,Multi Region State,3,Offshore Mineral Extraction,2014, 808 ," 37,497,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2005, 92 ," 9,808,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2006, 97 ," 8,294,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2007, 104 ," 10,344,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2008, 106 ," 10,803,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2009, 115 ," 10,271,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2010, 102 ," 10,182,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2011, 129 ," 9,128,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2012, 204 ," 16,183,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2013, 189 ," 13,898,000 "
Florida-Southeast,Southeast,Multi Region State,4,Ship and Boat Building,2014, 88 ," 7,204,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2005," 2,104 "," 350,336,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2006," 2,112 "," 376,928,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2007," 2,394 "," 382,614,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2008," 2,436 "," 360,515,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2009," 2,294 "," 224,189,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2010," 2,334 "," 213,014,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2011," 2,455 "," 229,280,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2012," 2,907 "," 239,584,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2013," 2,344 "," 240,229,000 "
Florida-Southeast,Southeast,Multi Region State,5,Tourism and Recreation,2014," 2,595 "," 357,356,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2005," 1,984 "," 126,429,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2006," 2,101 "," 134,886,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2007," 2,727 "," 148,748,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2008," 2,865 "," 150,581,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2009," 2,865 "," 136,381,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2010," 3,105 "," 147,429,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2011," 3,137 "," 156,759,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2012," 3,821 "," 173,113,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2013," 3,603 "," 171,807,000 "
Florida-Southeast,Southeast,Multi Region State,6,Marine Transportation,2014," 2,121 "," 98,911,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2005," 7,509 "," 632,345,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2006," 7,679 "," 665,498,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2007," 8,593 "," 691,589,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2008," 8,672 "," 661,192,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2009," 8,414 "," 497,435,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2010," 8,704 "," 499,689,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2011," 8,984 "," 533,278,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2012," 10,296 "," 577,269,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2013," 9,432 "," 571,613,000 "
Florida-Southeast,Southeast,Multi Region State,9,All Ocean Sectors,2014," 10,482 "," 766,229,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2005, 99 ," 5,069,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2006, 92 ," 5,307,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2007, 98 ," 6,315,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2008, 91 ," 5,639,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2009, 79 ," 5,543,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2010, 78 ," 5,683,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2011, 70 ," 3,563,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2012, 54 ," 2,749,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2013, 56 ," 3,051,000 "
New York - Great Lakes,Great Lakes,Multi Region State,1,Marine Construction,2014, 52 ," 3,950,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2005, 185 ," 4,214,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2006, 191 ," 4,261,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2007, 194 ," 5,027,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2008, 184 ," 5,581,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2009, 178 ," 4,552,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2010, 183 ," 6,039,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2011, 180 ," 5,069,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2012, 175 ," 4,476,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2013, 169 ," 5,225,000 "
New York - Great Lakes,Great Lakes,Multi Region State,2,Living Resources,2014, 192 ," 6,158,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Mineral Extraction,2005, 334 ," 21,524,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Mineral Extraction,2006, 305 ," 12,227,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Mineral Extraction,2007, 274 ," 11,834,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Mineral Extraction,2008, 282 ," 11,678,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Mineral Extraction,2009, 270 ," 16,364,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Mineral Extraction,2010, 270 ," 16,038,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Mineral Extraction,2011, 264 ," 14,963,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Mineral Extraction,2012, 255 ," 17,157,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Minerals,2013, 240 ," 18,361,000 "
New York - Great Lakes,Great Lakes,Multi Region State,3,Offshore Mineral Extraction,2014, 260 ," 23,397,000 "
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2005, 5 ," 402,000 "
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2006, 5 ," 531,000 "
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2007, 6 ," 572,000 "
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2008, 8 ," 662,000 "
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2009," (9,999)"," (9,999)"
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2010," (9,999)"," (9,999)"
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2011, 7 ," 618,000 "
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2012," (9,999)"," (9,999)"
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2013," (9,999)"," (9,999)"
New York - Great Lakes,Great Lakes,Multi Region State,4,Ship and Boat Building,2014, -   , -   
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2005, 337 ," 17,455,000 "
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2006, 335 ," 19,479,000 "
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2007, 299 ," 20,424,000 "
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2008, 286 ," 17,581,000 "
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2009, 298 ," 18,593,000 "
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2010, 295 ," 18,870,000 "
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2011, 293 ," 17,800,000 "
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2012, 283 ," 16,592,000 "
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2013, 285 ," 16,934,000 "
New York - Great Lakes,Great Lakes,Multi Region State,5,Tourism and Recreation,2014, 287 ," 18,038,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2005, 218 ," 9,987,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2006, 202 ," 10,666,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2007, 232 ," 11,143,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2008, 230 ," 10,430,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2009, 232 ," 12,222,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2010, 201 ," 10,060,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2011, 203 ," 9,888,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2012, 191 ," 11,366,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2013, 203 ," 11,841,000 "
New York - Great Lakes,Great Lakes,Multi Region State,6,Marine Transportation,2014, 174 ," 9,774,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2005," 1,178 "," 58,651,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2006," 1,130 "," 52,471,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2007," 1,103 "," 55,315,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2008," 1,081 "," 51,571,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2009," 1,057 "," 57,274,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2010," 1,027 "," 56,690,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2011," 1,017 "," 51,901,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2012, 958 ," 52,340,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2013, 953 ," 55,412,000 "
New York - Great Lakes,Great Lakes,Multi Region State,9,All Ocean Sectors,2014," 1,049 "," 65,322,000 "
New York - Mid Atlantic,Mid Atlantic,Multi Region State,1,Marine Construction,2005, 671 ," 38,150,000 "
New York - Mid Atlantic,Mid Atlantic,Multi Region State,1,Marine Construction,2006, 650 ," 34,768,000 "
